question_id,question,expected_source_file,single_source,technique,k,retrieval_latency_ms,query_embedding_dim,rank,store_score,cosine_sim,chunk_len,preview,source_file
q1,"If a CS major has no prior computing experience, what does the department suggest instead of jumping straight into CS 46A?",sjsu_cs_undergrad_faq.txt,True,token,5,64.08110004849732,384,1,0.6423563675935319,0.6369166099607946,1043,"third possibility is to simply take CS 46A at SJSU.  Your 46A will almost certainly count as equivalent to CS 49C if it used C or C++, and will likely count as ",sjsu_cs_undergrad_faq.txt
q1,"If a CS major has no prior computing experience, what does the department suggest instead of jumping straight into CS 46A?",sjsu_cs_undergrad_faq.txt,True,token,5,64.08110004849732,384,2,0.6095347169106261,0.5892808015276431,1097,you can count it toward graduation (if you have not already taken another Area E course). See the Science 2 web site for more information. There is a similar co,sjsu_cs_undergrad_faq.txt
q1,"If a CS major has no prior computing experience, what does the department suggest instead of jumping straight into CS 46A?",sjsu_cs_undergrad_faq.txt,True,token,5,64.08110004849732,384,3,0.5934146933420797,0.5890444112106169,1218,"certificate program may count toward the B.S. in Computer Science.  There are several lower-division prerequisites for the courses in the program, so it will be",sjsu_cs_undergrad_faq.txt
q1,"If a CS major has no prior computing experience, what does the department suggest instead of jumping straight into CS 46A?",sjsu_cs_undergrad_faq.txt,True,token,5,64.08110004849732,384,4,0.5756559454849842,0.5941758674310251,1127,brief discussion of the differences between the computer science field and the software engineering field is given in the MSCS FAQ . According to the catalog de,sjsu_cs_undergrad_faq.txt
q1,"If a CS major has no prior computing experience, what does the department suggest instead of jumping straight into CS 46A?",sjsu_cs_undergrad_faq.txt,True,token,5,64.08110004849732,384,5,0.5739418515428807,0.6058979183171086,908,Master of Science in Computer Science | Department of Computer Science Skip to main content Master of Science in Computer Science The Master of Science program ,sjsu_mscs_program_overview.txt
q1,"If a CS major has no prior computing experience, what does the department suggest instead of jumping straight into CS 46A?",sjsu_cs_undergrad_faq.txt,True,semantic,5,47.89290006738156,384,1,0.5703570060304431,0.5711957626636114,9538,"Determine, preferably in consultation with an advisor, whether you are ready to start upper-division coursework in Computer Science. If you have successfully co",sjsu_cs_undergrad_faq.txt
q1,"If a CS major has no prior computing experience, what does the department suggest instead of jumping straight into CS 46A?",sjsu_cs_undergrad_faq.txt,True,semantic,5,47.89290006738156,384,2,0.5281275182651253,0.5459080035805018,1331,"slightly modified, August 2016 What is Science 2? What is Science 90T? Science 2 (Sci 002) is a course designed to improve retention rates in science and engine",sjsu_cs_undergrad_faq.txt
q1,"If a CS major has no prior computing experience, what does the department suggest instead of jumping straight into CS 46A?",sjsu_cs_undergrad_faq.txt,True,semantic,5,47.89290006738156,384,3,0.522430461704535,0.5210007128157917,939,"Who should I see for other types of assistance? For assistance with Computer Science issues For most CS issues, you should start with the appropriate advisor, a",sjsu_cs_undergrad_faq.txt
q1,"If a CS major has no prior computing experience, what does the department suggest instead of jumping straight into CS 46A?",sjsu_cs_undergrad_faq.txt,True,semantic,5,47.89290006738156,384,4,0.5199251835679952,0.5004627608729418,3646,Yes. The calculus courses in the major cover Area B4.  Areas Z and V of SJSU Studies are also covered with the required courses CS 100W  (Technical Writing Work,sjsu_cs_undergrad_faq.txt
q1,"If a CS major has no prior computing experience, what does the department suggest instead of jumping straight into CS 46A?",sjsu_cs_undergrad_faq.txt,True,semantic,5,47.89290006738156,384,5,0.5189599272086824,0.49263216844280705,993,"Be aware that this program is only a sample, and will not be appropriate for every student.  The department web site contains a prerequisite chart . Also see th",sjsu_cs_undergrad_faq.txt
